run_id,date_ist,platform,canonical_sku,city,pincode,price,mrp,discount_pct,in_stock
2026-06-01-0900,2026-06-01,bigbasket,apple-healthy-wheatgrass-juice-200ml,All India,-,50,50,0,1
2026-06-01-0900,2026-06-01,bigbasket,apple-healthy-wheatgrass-juice-sugar-free-200ml,All India,-,50,50,0,1
2026-06-01-0900,2026-06-01,bigbasket,blueberry-healthy-wheatgrass-juice-200ml,All India,-,50,50,0,1
2026-06-01-0900,2026-06-01,bigbasket,canola-oil-cold-pressed-1l,All India,-,273,375,27.2,1
2026-06-01-0900,2026-06-01,bigbasket,canola-omega3-rich-cooking-oil-1-l-1l,All India,-,241.47,299,19.2,1
2026-06-01-0900,2026-06-01,bigbasket,cold-press-kachi-ghani-mustard-oil-5l,All India,-,926.96,1250,25.8,1
2026-06-01-0900,2026-06-01,bigbasket,cold-pressed-soyabean-oil-1l,All India,-,124.25,199,37.6,1
2026-06-01-0900,2026-06-01,bigbasket,cold-pressed-sunflower-oil-1l,All India,-,167.09,275,39.2,1
2026-06-01-0900,2026-06-01,bigbasket,extra-light-olive-oil-1l,All India,-,743.85,1499,50.4,1
2026-06-01-0900,2026-06-01,bigbasket,extra-light-olive-oil-5l,All India,-,1803,3900,53.8,1
2026-06-01-0900,2026-06-01,bigbasket,extra-light-olive-oil-antioxidants-rich-light-cooking-medium-for-frying-grilling-2l,All India,-,1380,2799,50.7,1
2026-06-01-0900,2026-06-01,bigbasket,extra-virgin-coconut-oil-1l,All India,-,467.25,700,33.3,1
2026-06-01-0900,2026-06-01,bigbasket,extra-virgin-olive-oil-antioxidants-rich-suitable-for-salads-saute-1l,All India,-,1012,1799,43.7,1
2026-06-01-0900,2026-06-01,bigbasket,extravirgin-olive-oil-5l,All India,-,5077,7999,36.5,1
2026-06-01-0900,2026-06-01,bigbasket,fizzy-water-flavoured-with-lemon-750ml,All India,-,55,55,0,1
2026-06-01-0900,2026-06-01,bigbasket,fizzy-water-flavoured-with-peach-750ml,All India,-,55,55,0,1
2026-06-01-0900,2026-06-01,bigbasket,ginger-ale-healthy-wheatgrass-juice-sugar-free-200ml,All India,-,50,50,0,1
2026-06-01-0900,2026-06-01,bigbasket,gold-multisource-edible-oil-5l,All India,-,716.81,1050,31.7,1
2026-06-01-0900,2026-06-01,bigbasket,indian-tonic-water-200ml,All India,-,95,95,0,1
2026-06-01-0900,2026-06-01,bigbasket,mango-healthy-wheatgrass-juice-500ml,All India,-,100,100,0,1
2026-06-01-0900,2026-06-01,bigbasket,mojito-healthy-wheatgrass-juice-200ml,All India,-,50,50,0,1
2026-06-01-0900,2026-06-01,bigbasket,mojito-healthy-wheatgrass-juice-sugar-free-200ml,All India,-,50,50,0,1
2026-06-01-0900,2026-06-01,bigbasket,pomace-olive-oil-1l,All India,-,1049,1049,0,1
2026-06-01-0900,2026-06-01,bigbasket,pomace-olive-oil-2l,All India,-,1078,1449,25.6,1
2026-06-01-0900,2026-06-01,bigbasket,pomace-olive-oil-5l,All India,-,2511,4999,49.8,1
