run_id,date_ist,platform,canonical_sku,city,pincode,price,mrp,discount_pct,in_stock
2026-05-22-0900,2026-05-22,flipkart,ardhcjmtxhz5hqda,All India,-,460,690,33.3,0
2026-05-22-0900,2026-05-22,flipkart,botgz9zpvhfx8yyg,All India,-,,,,0
2026-05-22-0900,2026-05-22,flipkart,both4sqvcndsqjyh,All India,-,2200,5789,62,0
2026-05-22-0900,2026-05-22,flipkart,bothyvmncrzhcy2v,All India,-,,,,0
2026-05-22-0900,2026-05-22,flipkart,bothyvpx44hzzqrg,All India,-,619,711,13,0
2026-05-22-0900,2026-05-22,flipkart,bothyvrwuhgtzfhy,All India,-,,,,0
2026-05-22-0900,2026-05-22,flipkart,cfegmj5gje7hd3dq,All India,-,276,350,21.1,0
2026-05-22-0900,2026-05-22,flipkart,crlggf7yg5dj4smx,All India,-,189,899,79,0
2026-05-22-0900,2026-05-22,flipkart,crlhyewupr4drzzd,All India,-,498,548,9.1,0
2026-05-22-0900,2026-05-22,flipkart,crlhyff2nszhwvhq,All India,-,498,548,9.1,0
2026-05-22-0900,2026-05-22,flipkart,dajh7tq57qbrq7dt,All India,-,338,1999,83.1,0
2026-05-22-0900,2026-05-22,flipkart,dajh7uwv7cnchsjb,All India,-,420,575,27,0
2026-05-22-0900,2026-05-22,flipkart,dajh7vf9gtufzz5k,All India,-,499,999,50.1,0
2026-05-22-0900,2026-05-22,flipkart,dajh7vuw7j7dzn7q,All India,-,899,3211,72,0
2026-05-22-0900,2026-05-22,flipkart,dajh7wfgyfttvjvz,All India,-,899,2900,69,0
2026-05-22-0900,2026-05-22,flipkart,dajh7wyzhzayakgn,All India,-,604,839,28,0
2026-05-22-0900,2026-05-22,flipkart,dajh8rdqpbhxaazt,All India,-,499,599,16.7,0
2026-05-22-0900,2026-05-22,flipkart,dajh8z2zyb7khguf,All India,-,899,2900,69,0
2026-05-22-0900,2026-05-22,flipkart,dajhckt6kvugr3gz,All India,-,150,999,85,0
2026-05-22-0900,2026-05-22,flipkart,edofrwtzzubgdj3q,All India,-,1403,2025,30.7,1
2026-05-22-0900,2026-05-22,flipkart,edofrxtmjgae9dct,All India,-,572,750,23.7,1
